"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"106","Cooper Rush (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"107","Carson Wentz (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"108","Jeff Driskel (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Brandon Allen (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Adrian Martinez (SF)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
"111","Kyle Allen (DET)","0","2","0.0","0","0.0","0","0","0","1","-1","0","0","2","-0.1","-0.1","0.6%"
"112","Kedon Slovis (ARI)","1","2","50.0","-2","-1.0","0","0","0","0","0","0","0","2","-0.1","-0.1","0.0%"
"113","Zach Wilson (MIA)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.6%"
"114","Jimmy Garoppolo (LAR)","0","0","0","0","0","0","0","0","3","-4","0","0","1","-0.4","-0.4","0.9%"
"115","Drew Lock (SEA)","0","0","0","0","0","0","0","0","5","-4","0","0","4","-0.4","-0.1","1.9%"
"116","Nick Mullens (JAC)","1","1","100.0","3","3.0","0","0","0","9","-6","0","0","4","-0.5","-0.1","1.8%"
"117","Clayton Tune (FA)","1","4","25.0","8","2.0","0","1","1","1","0","0","0","1","-0.7","-0.7","0.6%"
"118","Joe Milton III (DAL)","2","2","100.0","11","5.5","0","0","0","1","7","0","1","1","-0.9","-0.9","0.7%"
""
""
