"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Tyler Johnson","WR","LAR","2","80","40","59","0","14","10","14","9.9","12.4"
"Kyle Pitts Sr.","TE","ATL","16","672","42","63","0","11","7","11","82.7","12.3"
"Bub Means","WR","NO","7","145","21","31","0","10","6","10","17.8","12.3"
"Pat Freiermuth","TE","PIT","16","727","45","68","0","9","8","9","88.8","12.2"
"Dalton Kincaid","TE","BUF","13","471","36","57","0","16","9","16","56.8","12.1"
"T.J. Hockenson","TE","MIN","9","372","41","59","0","15","10","15","44.6","12.0"
"Jaylen Waddle","WR","MIA","14","730","52","78","0","10","8","11","86.6","11.9"
"Cedric Tillman","WR","CLE","11","432","39","57","0","11","7","12","51.4","11.9"
"Evan Engram","TE","JAC","9","363","40","71","0","18","13","18","42.5","11.7"
"Clyde Edwards-Helaire","RB","NO","1","26","26","43","19","15","27","35","3.0","11.5"
"Austin Hooper","TE","NE","16","532","33","52","0","10","8","10","60.9","11.4"
"Noah Gray","TE","KC","16","660","41","59","0","7","6","7","73.6","11.2"
"Xavier Legette","WR","CAR","15","652","43","73","1","12","8","13","73.1","11.2"
"Jalen Tolbert","WR","DAL","16","836","52","76","0","9","5","9","93.2","11.1"
"Parker Washington","WR","JAC","16","525","33","54","0","9","6","9","57.5","11.0"
"Noah Brown","WR","WAS","11","470","43","63","0","12","7","12","51.3","10.9"
"Michael Pittman Jr.","WR","IND","15","833","56","88","0","12","8","12","89.6","10.8"
"Travis Kelce","TE","KC","16","940","59","84","0","14","10","14","98.4","10.5"
"Brandon Aiyuk","WR","SF","7","357","51","76","0","13","7","13","37.4","10.5"
"Troy Franklin","WR","DEN","15","360","24","38","1","14","8","15","37.9","10.5"
"Wan'Dale Robinson","WR","NYG","16","818","51","76","0","16","11","16","85.4","10.4"
"Dorian Thompson-Robinson","QB","CLE","5","201","40","55","9","0","67","67","21.0","10.4"
"Demarcus Robinson","WR","LAR","16","830","52","81","0","7","3","7","85.3","10.3"
"Brandin Cooks","WR","DAL","9","417","46","70","0","11","6","11","42.6","10.2"
"Sterling Shepard","WR","TB","13","467","36","53","2","10","8","12","47.2","10.1"
"Andrei Iosivas","WR","CIN","16","828","52","78","0","7","4","7","82.7","10.0"
"Mack Hollins","WR","BUF","16","655","41","64","0","7","4","7","65.3","10.0"
"Juwan Johnson","TE","NO","16","645","40","63","0","9","7","9","64.8","10.0"
"Will Dissly","TE","LAC","14","497","36","57","0","12","9","12","49.9","10.0"
"Josh Reynolds","WR","JAC","7","244","35","52","0","9","5","9","24.3","10.0"
"Rome Odunze","WR","CHI","16","899","56","84","0","11","6","11","89.1","9.9"
"Nick Vannett","TE","TEN","12","295","25","37","0","6","5","6","28.9","9.8"
"Foster Moreau","TE","NO","16","700","44","68","0","6","4","6","68.2","9.7"
"Tim Patrick","WR","DET","15","601","40","59","0","7","5","7","57.9","9.6"
"Hunter Henry","TE","NE","16","835","52","81","0","12","8","12","79.4","9.5"
"Cade Otton","TE","TB","14","856","61","93","0","10","7","10","81.6","9.5"
"Jordan Akins","TE","CLE","15","410","27","39","0","12","8","12","39.0","9.5"
"Michael Wilson","WR","ARI","16","822","51","80","0","9","6","9","77.5","9.4"
"Tyler Lockett","WR","SEA","16","736","46","70","0","10","6","10","69.2","9.4"
"Chig Okonkwo","TE","TEN","16","662","41","64","0","11","8","11","61.6","9.3"
"Ryan Miller","WR","TB","10","267","27","39","0","7","4","7","24.8","9.3"
"DJ Turner","WR","LV","11","337","31","46","1","9","6","10","31.1","9.2"
