"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Tip Reiman","TE","ARI","4","98","25","37","0","5","3","5","1.8","1.8"
"Arian Smith","WR","NYJ","15","360","24","39","1","4","3","5","6.3","1.8"
"Eric Saubert","TE","SEA","10","228","23","37","0","2","1","2","4.1","1.8"
"Alec Ingold","RB","MIA","16","332","21","36","1","3","3","3","5.8","1.7"
"Grant Calcaterra","TE","PHI","14","352","25","40","0","3","2","3","5.5","1.6"
"Shane Zylstra","TE","DET","4","134","34","50","0","4","2","4","2.0","1.5"
"Charlie Woerner","TE","ATL","16","561","35","54","0","2","1","2","4.8","0.9"
"Andre Baccellia","WR","ARI","4","92","23","32","0","4","2","4","0.8","0.9"
"Tucker Fisk","TE","LAC","10","233","23","34","0","2","1","2","1.9","0.8"
"Payne Durham","TE","TB","16","336","21","31","0","1","0","1","1.1","0.3"
"Patrick Ricard","RB","BAL","10","248","25","40","0","0","0","1","0.3","0.1"
"Russell Gage Jr.","WR","SF","1","28","28","37","0","0","0","0","0.0","0.0"
""
""
