"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"188","Jalin Hyatt (NYG)","14","3","5","35","7.0","0","0","0","0","0","0","8","3.5","0.4","0.9%"
"189","Deven Thompkins (ATL)","3","0.6","3","27","9.0","0","0","1","5","0","0","6","3.2","0.5","0.0%"
"190","Velus Jones Jr. (SEA)","0","0","0","0","0","0","0","4","32","0","0","6","3.2","0.5","0.0%"
"191","Nikko Remigio (KC)","1","0.2","1","21","21.0","1","0","1","11","0","0","14","3.2","0.2","0.6%"
"192","Jalen Brooks (ARI)","6","1","3","51","17.0","1","0","0","0","0","1","5","3.1","0.6","0.6%"
"193","KhaDarel Hodge (ATL)","10","2","3","31","10.3","0","0","0","0","0","0","11","3.1","0.3","0.7%"
"194","Justin Watson (HOU)","4","0.8","3","30","10.0","0","0","0","0","0","0","2","3.0","1.5","1.8%"
"195","Devin Duvernay (CHI)","5","1","2","26","13.0","1","0","0","0","0","0","16","2.6","0.2","0.6%"
"196","Jordan Watkins (SF)","3","0.6","2","26","13.0","0","0","0","0","0","0","5","2.6","0.5","1.2%"
"197","Tai Felton (MIN)","3","0.6","3","25","8.3","0","0","0","0","0","0","13","2.5","0.2","0.6%"
"198","Beaux Collins (NYG)","6","1.2","2","25","12.5","0","0","0","0","0","0","9","2.5","0.3","0.0%"
"199","Jonathan Mingo (DAL)","4","0.8","1","25","25.0","1","0","0","0","0","0","5","2.5","0.5","0.6%"
"200","Tay Martin (FA)","2","0","2","23","11.5","0","0","0","0","0","0","3","2.3","0.8","0.0%"
"201","Trent Sherfield Sr. (NE)","5","1","3","21","7.0","0","0","0","0","0","0","12","2.1","0.2","0.0%"
"202","Jared Wayne (HOU)","2","0.4","2","20","10.0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"203","Jake Bobo (SEA)","2","0.4","2","20","10.0","0","0","0","0","0","0","10","2.0","0.2","0.8%"
"204","David Moore (CAR)","1","0.2","1","5","5.0","0","0","1","12","0","0","4","1.7","0.4","0.8%"
"205","Tim Jones (JAC)","1","0.2","1","15","15.0","0","0","0","0","0","0","4","1.5","0.4","0.0%"
"206","Alex Bachman (LV)","3","0.6","2","12","6.0","0","0","0","0","0","0","12","1.2","0.1","0.0%"
"207","Andre Baccellia (ARI)","4","0.7","2","8","4.0","0","0","0","0","0","0","5","0.8","0.2","0.1%"
"208","Bryce Oliver (TEN)","1","0.2","1","8","8.0","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"209","Anthony Gould (IND)","2","0.4","2","6","3.0","0","0","0","0","0","0","11","0.6","0.1","0.6%"
"210","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"211","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Mario Williams (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Terrace Marshall Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"216","Simi Fehoko (ARI)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.0%"
"217","Ainias Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"218","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Ja'Corey Brooks (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"220","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Traeshon Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Cornelius Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"223","Brandon Aiyuk (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.9%"
"224","AJ Henning (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Ronnie Bell (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Malik Cunningham (DET)","0","0","0","0","0","0","0","1","1","0","0","1","0.0","0.0","1.1%"
"227","Dan Chisena (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"228","Ihmir Smith-Marsette (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"229","Seth Williams (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Rondale Moore (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"231","Kristian Wilkerson (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"232","Avery Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"233","Cole Burgess (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Qadir Ismail (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Julian Hicks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Isaiah Wooden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"237","Nick Nash (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"238","Will Sheppard (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","John Jiles (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Jalen Royals (KC)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.4%"
"241","Da'Quan Felton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Ricky White III (SEA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"243","JaQuae Jackson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Ja'Lynn Polk (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"245","Brenden Rice (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"246","Xavier Johnson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Jeshaun Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Bub Means (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"249","Joshua Cephus (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Andrew Armstrong (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Dayton Wade (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Tejhaun Palmer (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Jimmy Holiday (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Kisean Johnson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Ja'seem Reed (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Cade McDonald (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"258","Luke Floriea (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Montorie Foster Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Dalevon Campbell (LAC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"261","Kyrese Rowan (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Dohnte Meyers (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"263","Jeremiah Webb (NE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"264","Tyrone Broden (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"265","Traeshin Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"266","Jacksin Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"267","Jamaal Pritchett (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"268","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"269","Josh Kelly (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"270","Jackson Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"271","Chandler Brayboy (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"272","Eli Pancol (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"273","Quentin Skinner (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"274","Jakobie Keeney-James (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"275","Dontae Fleming (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"276","Tru Edwards (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"277","Brennan Presley (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"278","Dalen Cambre (NYG)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"279","Junior Bergen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"280","JP Richardson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"281","Hal Presley III (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"282","Jordan Moore (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"283","Stephen Gosnell (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"284","Joaquin Davis (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","Courtney Jackson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"286","Bryson Green (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"287","Luke Grimm (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"288","Mac Dalena (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"289","Coleman Owen (IND)","1","0.2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"290","A.T. Perry (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"291","Brandon Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"292","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.1%"
"293","Jacoby Jones (WAS)","1","0","1","25","25.0","1","0","0","0","0","0","2","0.0","0.0","0.0%"
"294","DJ Turner (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"295","Brandon Smith (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"296","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.9%"
"297","Danny Gray (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"298","Samori Toure (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Kaden Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.1%"
"300","Colton Dowell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"301","Elijah Cooks (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"302","Jason Brownlee (FA)","1","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"303","Dominic Lovett (DET)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","1.0%"
"304","Isaiah Neyor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
