Rank,Player,ATT,YDS,Y/A,LG,20+,TD,TGT,REC,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
208,Samkon Gado (TEN),0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
209,Royce Freeman (LAC),0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
210,Chase Edmonds (WAS),0,0.00,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
211,Joe Mixon (HOU),0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,45.70%
212,Taquan Mizzell (NYG),0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
213,Alexander Mattison (MIA),0,0.00,0,0,0,0,0,0,0,0,0,0,2,0,0,0.60%
214,Mike Weber (NYG),0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
215,Andrew Beck (NYJ),1,5.00,5,5,0,0,7,5,43,8.6,1,0,16,0,0,0.00%
216,Jakob Johnson (HOU),0,0.00,0,0,0,0,0,0,0,0,0,0,7,0,0,0.00%
217,Jeff Wilson Jr. (FA),0,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,1.00%
218,Michael Burton (DEN),0,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
219,Brennan Clay (DEN),0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
220,Travis Homer (CHI),1,-2.00,-2,0,0,0,0,0,0,0,0,0,7,-0.2,0,0.60%
221,Nyheim Miller-Hines (FA),2,-2.00,-1,1,0,0,0,0,0,0,0,0,3,-0.2,-0.1,0.10%
