"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Jauan Jennings","WR","SF","8","447","56","84","0","11","7","11","85.6","19.1"
"Greg Dortch","WR","ARI","5","169","34","46","3","10","11","13","31.9","18.9"
"Kimani Vidal","RB","LAC","7","305","44","67","32","3","34","35","57.0","18.7"
"A.J. Brown","WR","PHI","8","455","57","88","0","15","11","15","84.8","18.6"
"Devin Neal","RB","NO","6","221","37","57","24","7","31","32","40.9","18.5"
"Raheim Sanders","RB","CLE","2","42","21","36","45","7","50","52","7.7","18.3"
"Tetairoa McMillan","WR","CAR","8","394","49","85","0","13","7","13","71.7","18.2"
"Ryan Flournoy","WR","DAL","7","255","36","52","0","11","8","11","46.1","18.1"
"Colston Loveland","TE","CHI","9","447","50","70","0","11","9","12","80.4","18.0"
"Tua Tagovailoa","QB","MIA","6","341","57","98","3","0","48","48","61.1","17.9"
"Sam LaPorta","TE","DET","2","117","59","87","0","11","9","11","21.0","17.9"
"Harold Fannin Jr.","TE","CLE","8","378","47","78","1","15","10","16","66.6","17.6"
"Marvin Harrison Jr.","WR","ARI","5","202","40","64","0","16","8","16","35.2","17.4"
"Chris Oladokun","QB","KC","2","74","37","84","5","0","57","57","12.8","17.3"
"CeeDee Lamb","WR","DAL","8","457","57","79","0","16","10","16","78.7","17.2"
"KaVontae Turpin","WR","DAL","8","188","24","32","5","10","12","15","32.1","17.1"
"Juwan Johnson","TE","NO","8","340","43","65","0","13","11","13","58.0","17.1"
"Greg Dulcich","TE","MIA","8","197","25","43","1","15","12","15","33.7","17.1"
"Kyle Williams","WR","NE","8","218","27","42","0","7","4","7","36.9","16.9"
"Tyjae Spears","RB","TEN","8","236","30","47","19","14","31","33","39.4","16.7"
"Troy Franklin","WR","DEN","8","295","37","55","1","17","12","18","49.0","16.6"
"Jalen McMillan","WR","TB","3","101","34","51","1","14","12","15","16.8","16.6"
"Isiah Pacheco","RB","KC","5","117","23","42","34","8","41","42","19.1","16.3"
"Alvin Kamara","RB","NO","3","78","26","41","40","10","47","50","12.7","16.3"
"Zay Flowers","WR","BAL","9","475","53","85","1","12","10","13","76.9","16.2"
"Jaylen Waddle","WR","MIA","8","346","43","75","1","14","9","15","55.4","16.0"
"Chris Godwin Jr.","WR","TB","6","276","46","68","0","13","9","13","44.0","15.9"
"Ja'Marr Chase","WR","CIN","7","459","66","93","0","17","10","17","72.4","15.8"
"Dontayvion Wicks","WR","GB","8","205","26","42","0","13","9","13","32.4","15.8"
"Courtland Sutton","WR","DEN","8","454","57","85","0","15","8","15","71.6","15.8"
"Colby Parkinson","TE","LAR","9","429","48","71","0","10","7","10","67.4","15.7"
"Rashid Shaheed","WR","SEA","9","280","31","50","3","12","9","15","43.8","15.6"
"Deebo Samuel Sr.","WR","WAS","8","343","43","70","2","13","11","15","52.9","15.4"
"Mason Rudolph","QB","PIT","3","107","36","59","4","0","50","50","16.5","15.4"
"Quentin Johnston","WR","LAC","7","332","47","73","0","11","7","11","50.8","15.3"
"Alec Pierce","WR","IND","8","473","59","93","0","10","5","10","72.5","15.3"
"Tyler Huntley","QB","BAL","3","110","37","64","12","0","39","39","16.8","15.3"
"Mark Andrews","TE","BAL","9","318","35","57","2","12","9","14","48.4","15.2"
"Jayden Higgins","WR","HOU","9","356","40","57","0","12","7","12","52.7","14.8"
"Michael Carter","RB","ARI","8","261","33","48","19","11","27","31","38.7","14.8"
"Kyle Pitts Sr.","TE","ATL","9","525","58","91","0","12","8","12","76.6","14.6"
"DJ Moore","WR","CHI","9","538","60","84","1","8","5","9","78.3","14.6"
"Kalif Raymond","WR","DET","7","168","24","36","1","9","8","10","24.3","14.5"
"Russell Wilson","QB","NYG","1","21","21","29","10","0","43","43","3.0","14.3"
"Chimere Dike","WR","TEN","8","345","43","68","1","12","8","12","48.8","14.1"
"Chig Okonkwo","TE","TEN","8","289","36","57","0","13","9","13","40.7","14.1"
"Jalen Nailor","WR","MIN","9","292","32","57","0","8","5","9","41.1","14.1"
"Marquise Brown","WR","KC","7","191","27","43","0","10","7","10","26.7","14.0"
"Isaac TeSlaa","WR","DET","9","291","32","49","0","7","4","7","40.7","14.0"
"Hunter Henry","TE","NE","8","420","53","80","0","11","7","11","57.5","13.7"
"Jayden Reed","WR","GB","4","139","35","58","2","12","14","14","19.0","13.7"
"Jakobi Meyers","WR","JAC","9","472","52","80","1","13","10","14","63.5","13.5"
"Brenton Strange","TE","JAC","6","307","51","79","0","10","7","10","40.4","13.2"
"Jalen Coker","WR","CAR","8","326","41","70","0","9","7","9","43.1","13.2"
"Wan'Dale Robinson","WR","NYG","8","492","62","93","0","17","11","17","64.3","13.1"
"Pat Freiermuth","TE","PIT","9","273","30","49","0","10","8","10","35.5","13.0"
"Tyler Higbee","TE","LAR","3","99","33","50","0","9","7","9","12.9","13.0"
"Ladd McConkey","WR","LAC","8","395","49","76","0","10","6","10","50.1","12.7"
"Isaiah Bond","WR","CLE","7","172","25","42","2","7","5","9","21.8","12.7"
"DK Metcalf","WR","PIT","8","413","52","85","0","14","8","14","52.1","12.6"
"Rachaad White","RB","TB","8","279","35","51","17","7","23","24","34.5","12.4"
"Dalton Schultz","TE","HOU","9","469","52","76","0","13","10","13","57.6","12.3"
"Dallas Goedert","TE","PHI","8","446","56","86","0","10","7","10","54.2","12.2"
"Marvin Mims Jr.","WR","DEN","6","134","22","33","4","12","13","16","16.2","12.1"
"Adonai Mitchell","WR","NYJ","8","353","44","69","0","16","7","16","42.4","12.0"
"Romeo Doubs","WR","GB","9","410","46","74","0","10","7","10","49.4","12.0"
"Keon Coleman","WR","BUF","5","177","35","52","0","9","5","9","20.8","11.8"
"Brian Thomas Jr.","WR","JAC","6","305","51","75","0","10","6","10","35.8","11.7"
"Jordan Addison","WR","MIN","9","424","47","83","0","11","5","11","49.4","11.7"
"Malik Washington","WR","MIA","8","262","33","57","2","9","9","11","30.3","11.6"
